sample_id,Al,B,Fe,K,Mg,Mn,Na,P,P.avail,EC,pH,H,Cu.1,S.1,Zn.1,NH4.1,NO3.1,OM.1,C.N.1
QR-R2,23000,8.7,29000,0.37,0.46,1100,760,0.14,260,119.0666667,5.443333333,0.710677087,4.401197382,-2.442019376,6.598421959,3.708050201,1.182321557,3.330067295,3.900701023
QR-R3,26000,13,33000,0.42,1,1200,910,0.13,100,120.33,5.81,1.000857155,5.234106505,-2.123565645,5.605170186,4.044522438,4.688879454,3.267268748,3.645864859
QR-R1,28000,13,37000,0.42,1,1100,850,0.12,75,118.7,5.64,1.254728397,5.521788577,-1.900422094,5.532599493,3.63905733,4.828641396,3.366967352,3.667070061
QR1-10,32000,12,40000,0.48,1,690,720,0.082,11,117.6333333,6.993333333,0.400246104,5.521788577,-2.146555163,5.33073334,2.131402111,1.262364264,3.413631147,3.201337641
QR1-105,30000,8.7,42000,0.33,1.2,980,690,0.091,2.1,157.6666667,7.016666667,0.273590649,5.48863637,-2.244193633,5.543294782,1.641853886,2.280933845,2.460869819,3.052836605
QR1-20,32000,9.9,40000,0.5,0.97,680,690,0.077,14,63.73333333,6.73,0.400246104,5.700480366,-2.506557897,5.276666119,1.78845736,1.09531018,3.179015694,3.201337641
QR1-200,31000,7,45000,0.28,1.2,1100,570,0.088,9.2,141.1,6.836666667,0.335198571,5.48863637,-2.324236341,5.941642423,2.704748092,1.587786665,2.484840829,3.426905121
QR1-350,34000,9.7,44000,0.37,1.2,1100,700,0.094,6.7,144.1333333,6.6,0.624919454,5.418840608,-1.975929646,5.787491743,4.465735903,2.16315081,2.347377476,3.779338353
QR1-500,34000,10,48000,0.33,1.3,1200,730,0.094,3.3,217,6.56,0.920027494,5.574710979,-1.864704011,5.605170186,4.80666249,2.824549292,2.417216534,3.751661274
QR1-75,31000,10,47000,0.33,1.1,910,650,0.099,3,159.0666667,7.286666667,0.35129561,6.075173815,-2.057607677,5.521788577,1.09531018,1.182321557,2.460659086,3.364356268
QR2-10,34000,13,45000,0.44,1.1,820,750,0.097,18,117,6.766666667,0.539094329,5.787491743,-2.296837366,5.605170186,2.193922468,3.995732274,3.201523394,3.41142876
QR2-108,32000,8.6,56000,0.3,1.4,1000,810,0.12,0.61,206.6666667,7.09,0.246902789,6.247024072,-1.040220829,5.060443011,-0.966112856,1.262364264,2.136312554,2.887290713
QR2-20,34000,11,48000,0.37,0.99,790,670,0.1,12,54.23333333,6.1,0.577416639,6.075173815,-2.381394754,5.290459441,2.193922468,1.336472237,2.763337233,3.274496756
QR2-250,37000,10,54000,0.38,1.3,1400,800,0.11,1,171.8666667,6.97,0.482997636,6.298317367,-1.302585093,5.234106505,3.272125886,1.262364264,2.581674495,3.371799634
QR2-365,36000,10,51000,0.37,0.87,990,660,0.098,8.1,108.3666667,5.98,0.596986453,6.010635294,-1.617295838,5.33073334,4.091042453,0.738635236,2.883083422,3.758556522
QR2-380,31000,7.8,63000,0.22,1.5,1300,650,0.1,0.41,138.4666667,7.09,0.324112505,6.135798437,-0.46967597,5.343805422,1.832909123,1.09531018,2.003765939,5.763228022
QR2-550,34000,10,58000,0.32,1.4,1200,690,0.11,1.5,189.6,7.186666667,0.369767427,6.298317367,-0.832581464,5.290459441,2.098612289,1.09531018,2.266503129,5.731280902
QR2-60,34000,12,56000,0.37,1.1,930,720,0.099,4,39.6,6.17,0.661970347,6.521460918,-2.352407217,5.219507705,-0.108662625,1.262364264,2.396792232,5.268737721
QR3-10,30000,10,43000,0.35,1,790,580,0.092,13,134.4333333,6.796666667,0.68791614,5.700480366,-2.036554268,5.356708827,2.481604541,1.09531018,3.282040292,3.478855441
QR3-20,33000,8.2,45000,0.31,1.1,910,580,0.092,10,65.76666667,5.893333333,0.64260749,5.553876892,-2.611918413,5.442651256,2.648658626,1.336472237,2.633309364,3.445677579
QR3-210,38000,13,59000,0.38,0.89,1300,680,0.1,2,162.1333333,5.91,0.423057417,6.010635294,-0.832581464,5.382026635,4.713572067,-0.897119985,3.131317503,3.653514131
QR3.565,32000,10,43000,0.33,1,840,860,0.1,3.4,109,6.673333333,0.313693951,5.442651256,-2.575550769,6.135798437,2.791759469,-1.995732274,2.349540826,5.388082906
QR3-90,33000,9.8,51000,0.32,0.92,920,590,0.11,8,91.8,5.433333333,0.926763018,6.247024072,-1.563949857,5.343805422,3.944438979,-1.995732274,2.776471068,3.863098571
